,pokedex_number,name,type_1,type_2,hp,attack,defense,sp_attack,sp_defense,speed,base_stat_total,height_m,weight_kg,base_experience,abilities,hidden_ability,generation,is_legendary,is_mythical,is_baby,color,shape,egg_groups,habitat,growth_rate,capture_rate,base_happiness,genus,evolution_chain_id,flavor_text,sprite_url,hp_norm,atk_norm,def_norm,sp_atk_norm,sp_def_norm,speed_norm
0,1,Bulbasaur,Grass,Poison,45,49,49,65,65,45,318,0.7,6.9,64.0,"['overgrow', 'chlorophyll']",chlorophyll,generation-1,,,False,green,quadruped,monster|plant,grassland,medium-slow,45,70,Seed Pokémon,1,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,0.1732283464566929,0.2378378378378378,0.1795918367346938,0.2669902912621359,0.1956521739130435,0.2051282051282051
1,2,Ivysaur,Grass,Poison,60,62,63,80,80,60,405,1.0,13.0,142.0,"['overgrow', 'chlorophyll']",chlorophyll,generation-1,,,False,green,quadruped,monster|plant,grassland,medium-slow,45,70,Seed Pokémon,1,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,0.2322834645669291,0.3081081081081081,0.236734693877551,0.3398058252427184,0.2608695652173913,0.282051282051282
2,3,Venusaur,Grass,Poison,80,82,83,100,100,80,525,2.0,100.0,236.0,"['overgrow', 'chlorophyll']",chlorophyll,generation-1,,,False,green,quadruped,monster|plant,grassland,medium-slow,45,70,Seed Pokémon,1,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,0.3110236220472441,0.4162162162162162,0.3183673469387755,0.4368932038834951,0.3478260869565217,0.3846153846153846
3,4,Charmander,Fire,None,39,52,43,60,50,65,309,0.6,8.5,62.0,"['blaze', 'solar-power']",solar-power,generation-1,,,False,red,upright,monster|dragon,mountain,medium-slow,45,70,Lizard Pokémon,2,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,0.1496062992125984,0.254054054054054,0.1551020408163265,0.2427184466019417,0.1304347826086956,0.3076923076923077
4,5,Charmeleon,Fire,None,58,64,58,80,65,80,405,1.1,19.0,142.0,"['blaze', 'solar-power']",solar-power,generation-1,,,False,red,upright,monster|dragon,mountain,medium-slow,45,70,Flame Pokémon,2,"When it swings its burning tail, it elevates the temperature to unbearably high levels.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,0.2244094488188976,0.3189189189189189,0.2163265306122449,0.3398058252427184,0.1956521739130435,0.3846153846153846
5,6,Charizard,Fire,Flying,78,84,78,109,85,100,534,1.7,90.5,240.0,"['blaze', 'solar-power']",solar-power,generation-1,,,False,red,upright,monster|dragon,mountain,medium-slow,45,70,Flame Pokémon,2,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,0.3031496062992126,0.427027027027027,0.2979591836734694,0.4805825242718446,0.2826086956521739,0.4871794871794871
6,7,Squirtle,Water,None,44,48,65,50,64,43,314,0.5,9.0,63.0,"['torrent', 'rain-dish']",rain-dish,generation-1,,,False,blue,upright,monster|water1,waters-edge,medium-slow,45,70,Tiny Turtle Pokémon,3,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,0.1692913385826771,0.2324324324324324,0.2448979591836734,0.1941747572815534,0.1913043478260869,0.1948717948717948
7,8,Wartortle,Water,None,59,63,80,65,80,58,405,1.0,22.5,142.0,"['torrent', 'rain-dish']",rain-dish,generation-1,,,False,blue,upright,monster|water1,waters-edge,medium-slow,45,70,Turtle Pokémon,3,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance.",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,0.2283464566929134,0.3135135135135135,0.3061224489795918,0.2669902912621359,0.2608695652173913,0.2717948717948718
8,9,Blastoise,Water,None,79,83,100,85,105,78,530,1.6,85.5,239.0,"['torrent', 'rain-dish']",rain-dish,generation-1,,,False,blue,upright,monster|water1,waters-edge,medium-slow,45,70,Shellfish Pokémon,3,A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,0.3070866141732283,0.4216216216216216,0.3877551020408163,0.3640776699029126,0.3695652173913043,0.3743589743589743
9,10,Caterpie,Bug,None,45,30,35,20,20,45,195,0.3,2.9,39.0,"['shield-dust', 'run-away']",run-away,generation-1,,,False,green,armor,bug,forest,medium,255,70,Worm Pokémon,4,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,0.1732283464566929,0.1351351351351351,0.1224489795918367,0.0485436893203883,0.0,0.2051282051282051
